X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,X_4,Y_4
127,301,127,301,127,301,127,301,127,301
69,300,69,300,69,300,69,300,69,300
76,123,76,123,76,123,76,123,76,123
70,301,70,302,70,301,70,301,70,301
2,105,2,48,2,105,2,105,2,105
1,105,1,125,1,105,1,105,1,302
1,61,1,0,1,61,1,61,1,48
0,50,0,0,0,52,0,55,0,125
3,45,3,0,3,42,3,47,3,0
0,52,0,0,0,48,0,54,0,0
62,105,62,0,62,105,62,302,62,0
0,61,0,0,0,61,0,105,0,0
1,49,1,0,1,57,1,125,1,0
0,47,0,0,0,42,0,0,0,0
32,55,32,0,32,52,32,0,32,0
16,302,16,0,16,302,16,0,16,0
0,105,0,0,0,105,0,0,0,0
64,125,64,0,64,125,64,0,64,0
0,0,0,0,0,0,0,0,0,0
120,0,120,0,120,0,120,0,120,0
52,0,52,0,52,0,52,0,52,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
56,0,56,0,56,0,56,0,56,0
0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,0,13,0,13,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
28,0,28,0,28,0,28,0,28,0
0,0,0,0,0,0,0,0,0,0
27,0,27,0,27,0,27,0,27,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
216,0,216,0,216,0,216,0,216,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
216,0,216,0,216,0,216,0,216,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
